Value,Designator,Footprint,LCSC Part #,
100nF,"C1,C2",0603,C14663,
1N914,"D3,D4",SOD-323F,C258181,
2N3904,Q1,SOT-23-3,C18536,
2M,R1,0603,C22976,
4.7K,R2,0603,C23162,
100K,R3,0603,C25803,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
