Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric,139.113,-109.871,0,top
C2,C,C_0603_1608Metric,132.128,-109.871,0,top
D3,1N914,D_SOD-323,128.305,-107.585,180,top
D4,1N914,D_SOD-323,128.339001,-109.875001,0,top
Q1,2N3904,SOT-23,131.48,-113.3,270,top
R1,2M,R_0603_1608Metric,135.671,-109.871,180,top
R2,4.7K,R_0603_1608Metric,135.671,-111.776,180,top
R3,100K,R_0603_1608Metric,131.925,-107.585,0,top
